f1: 138.59, f2: 146.83, latency: 0.0, cents_error: 41.743681634482414
f1: 138.59, f2: 155.56, latency: 0.0040000000000000036, cents_error: -79.32520018993586
f1: 138.59, f2: 164.81, latency: 0.008999999999999897, cents_error: -8.143114975633756
f1: 138.59, f2: 174.61, latency: 0.016999999999999904, cents_error: 5.168646556124828
f1: 138.59, f2: 185.0, latency: 0.010999999999999899, cents_error: 8.73398676135985
f1: 138.59, f2: 196.0, latency: 0.014000000000000012, cents_error: 1.5935284649828068
f1: 138.59, f2: 207.65, latency: 0.018999999999999906, cents_error: -4.6496735829143585
f1: 138.59, f2: 220.0, latency: 0.008999999999999897, cents_error: 14.646863401016772
f1: 138.59, f2: 233.08, latency: 0.006000000000000005, cents_error: 13.195563184734413
f1: 138.59, f2: 246.94, latency: 0.010000000000000009, cents_error: -5.727232610392862
f1: 138.59, f2: 261.63, latency: 0.006999999999999895, cents_error: 6.738597914876452
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, cents_error: -8.045628239081198
f1: 146.83, f2: 155.56, latency: 0.016999999999999904, cents_error: -32.69711765402215
f1: 146.83, f2: 164.81, latency: 0.01200000000000001, cents_error: -37.44539316068954
f1: 146.83, f2: 174.61, latency: 0.020999999999999908, cents_error: 2.4458940033019165
f1: 146.83, f2: 185.0, latency: 0.010000000000000009, cents_error: 0.7647043661937173
f1: 146.83, f2: 196.0, latency: 0.010000000000000009, cents_error: -13.105172846585527
f1: 146.83, f2: 207.65, latency: 0.02200000000000002, cents_error: -4.769862038831732
f1: 146.83, f2: 220.0, latency: 0.008999999999999897, cents_error: 2.472742817745509
f1: 146.83, f2: 233.08, latency: 0.004999999999999893, cents_error: -0.6736530048581361
f1: 146.83, f2: 246.94, latency: 0.010000000000000009, cents_error: -10.533507908396299
f1: 146.83, f2: 261.63, latency: 0.010999999999999899, cents_error: 4.406789831362935
f1: 155.56, f2: 138.59, latency: 0.0020000000000000018, cents_error: 101.38254717254222
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, cents_error: 6.174004419211333
f1: 155.56, f2: 164.81, latency: 0.018999999999999906, cents_error: 12.046547091860822
f1: 155.56, f2: 174.61, latency: 0.010000000000000009, cents_error: -7.564302803108996
f1: 155.56, f2: 185.0, latency: 0.018000000000000016, cents_error: 10.615678500086055
f1: 155.56, f2: 196.0, latency: 0.014000000000000012, cents_error: 7.573309592584409
f1: 155.56, f2: 207.65, latency: 0.016999999999999904, cents_error: -2.752719574838113
f1: 155.56, f2: 220.0, latency: 0.010999999999999899, cents_error: 15.527145076480847
f1: 155.56, f2: 233.08, latency: 0.0029999999999998916, cents_error: 9.406550717657064
f1: 155.56, f2: 246.94, latency: 0.010000000000000009, cents_error: -7.337201791898579
f1: 155.56, f2: 261.63, latency: 0.006999999999999895, cents_error: 5.9182617880197395
f1: 164.81, f2: 138.59, latency: 0.014999999999999902, cents_error: -7.036594309391677
f1: 164.81, f2: 146.83, latency: 0.0029999999999998916, cents_error: 78.64149552393059
f1: 164.81, f2: 155.56, latency: 0.004999999999999893, cents_error: -44.6942954880589
f1: 164.81, f2: 174.61, latency: 0.018999999999999906, cents_error: -5.854013278809912
f1: 164.81, f2: 185.0, latency: 0.0029999999999998916, cents_error: -0.6343868289515849
f1: 164.81, f2: 196.0, latency: 0.006999999999999895, cents_error: -14.386610803851992
f1: 164.81, f2: 207.65, latency: 0.02200000000000002, cents_error: -4.284560876995926
f1: 164.81, f2: 220.0, latency: 0.008999999999999897, cents_error: 10.484578538804945
f1: 164.81, f2: 233.08, latency: 0.0029999999999998916, cents_error: 5.00258163698645
f1: 164.81, f2: 246.94, latency: 0.008000000000000007, cents_error: -12.090365588898933
f1: 164.81, f2: 261.63, latency: 0.008000000000000007, cents_error: 5.940636212319142
f1: 174.61, f2: 138.59, latency: 0.020000000000000018, cents_error: 11.980848969113103
f1: 174.61, f2: 146.83, latency: 0.02200000000000002, cents_error: -3.8347724961559977
f1: 174.61, f2: 155.56, latency: 0.0009999999999998899, cents_error: 67.70769759396102
f1: 174.61, f2: 164.81, latency: 0.018999999999999906, cents_error: 15.404909804006982
f1: 174.61, f2: 185.0, latency: 0.0009999999999998899, cents_error: 71.05927827317986
f1: 174.61, f2: 196.0, latency: 0.0029999999999998916, cents_error: 24.883775173096772
f1: 174.61, f2: 207.65, latency: 0.014000000000000012, cents_error: -12.750457917544074
f1: 174.61, f2: 220.0, latency: 0.01200000000000001, cents_error: 13.054153840857943
f1: 174.61, f2: 233.08, latency: 0.006999999999999895, cents_error: 11.723395251177125
f1: 174.61, f2: 246.94, latency: 0.010000000000000009, cents_error: -6.167702303750826
f1: 174.61, f2: 261.63, latency: 0.004999999999999893, cents_error: 8.751918233836987
f1: 185.0, f2: 138.59, latency: 0.020000000000000018, cents_error: -9.133607596087996
f1: 185.0, f2: 146.83, latency: 0.0129999999999999, cents_error: 0.8921133053758327
f1: 185.0, f2: 155.56, latency: 0.020000000000000018, cents_error: -10.71307603066146
f1: 185.0, f2: 164.81, latency: 0.006999999999999895, cents_error: -7.415358990441394
f1: 185.0, f2: 174.61, latency: 0.020999999999999908, cents_error: 8.320049308129343
f1: 185.0, f2: 196.0, latency: 0.0, cents_error: -35.98575497123635
f1: 185.0, f2: 207.65, latency: 0.02299999999999991, cents_error: -3.5665871758329417
f1: 185.0, f2: 220.0, latency: 0.01200000000000001, cents_error: -14.211656553866593
f1: 185.0, f2: 233.08, latency: 0.004999999999999893, cents_error: -9.371122205317876
f1: 185.0, f2: 246.94, latency: 0.01200000000000001, cents_error: -16.378592755589978
f1: 185.0, f2: 261.63, latency: 0.0040000000000000036, cents_error: 20.847815308745457
f1: 196.0, f2: 138.59, latency: 0.020000000000000018, cents_error: -6.436589319605197
f1: 196.0, f2: 146.83, latency: 0.016999999999999904, cents_error: -1.5916864668362973
f1: 196.0, f2: 155.56, latency: 0.018000000000000016, cents_error: -11.14454061665937
f1: 196.0, f2: 164.81, latency: 0.010000000000000009, cents_error: 1.0600126755547408
f1: 196.0, f2: 174.61, latency: 0.020999999999999908, cents_error: 6.214849781100177
f1: 196.0, f2: 185.0, latency: 0.0, cents_error: 42.313813974044756
f1: 196.0, f2: 207.65, latency: 0.02299999999999991, cents_error: -2.7890573197086805
f1: 196.0, f2: 220.0, latency: 0.008999999999999897, cents_error: -24.337001244894413
f1: 196.0, f2: 233.08, latency: 0.004999999999999893, cents_error: -12.35701682605604
f1: 196.0, f2: 246.94, latency: 0.01200000000000001, cents_error: -23.4853393523029
f1: 196.0, f2: 261.63, latency: 0.006000000000000005, cents_error: 14.29670746178405
f1: 207.65, f2: 138.59, latency: 0.020000000000000018, cents_error: 15.607613189702843
f1: 207.65, f2: 146.83, latency: 0.02200000000000002, cents_error: -7.2313966706025425
f1: 207.65, f2: 155.56, latency: 0.014000000000000012, cents_error: 6.985366115574208
f1: 207.65, f2: 164.81, latency: 0.020999999999999908, cents_error: 2.0346154365805
f1: 207.65, f2: 174.61, latency: 0.014999999999999902, cents_error: 24.221179693913285
f1: 207.65, f2: 185.0, latency: 0.018999999999999906, cents_error: 0.6604487087160085
f1: 207.65, f2: 196.0, latency: 0.020000000000000018, cents_error: 0.7568055648340369
f1: 207.65, f2: 220.0, latency: 0.006000000000000005, cents_error: 43.702613019165476
