f1: 138.59, f2: 146.83, latency: 0.0, cents_error: 41.967718390544114
f1: 138.59, f2: 155.56, latency: 0.010000000000000009, cents_error: -44.37189605658545
f1: 138.59, f2: 164.81, latency: 0.010000000000000009, cents_error: -0.6892768276028158
f1: 138.59, f2: 174.61, latency: 0.020000000000000018, cents_error: 6.316733944709388
f1: 138.59, f2: 185.0, latency: 0.020000000000000018, cents_error: 7.289617105984218
f1: 138.59, f2: 196.0, latency: 0.020000000000000018, cents_error: 0.7956139353096685
f1: 138.59, f2: 207.65, latency: 0.020000000000000018, cents_error: -6.680843476382175
f1: 138.59, f2: 220.0, latency: 0.010000000000000009, cents_error: 9.915920585467047
f1: 138.59, f2: 233.08, latency: 0.010000000000000009, cents_error: 10.497700244941985
f1: 138.59, f2: 246.94, latency: 0.010000000000000009, cents_error: -5.74308168700181
f1: 138.59, f2: 261.63, latency: 0.010000000000000009, cents_error: 0.7809177065651144
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, cents_error: -7.899042490255705
f1: 146.83, f2: 155.56, latency: 0.020000000000000018, cents_error: -12.772517149341676
f1: 146.83, f2: 164.81, latency: 0.020000000000000018, cents_error: -17.278871959157673
f1: 146.83, f2: 174.61, latency: 0.030000000000000027, cents_error: 10.048061677698986
f1: 146.83, f2: 185.0, latency: 0.010000000000000009, cents_error: 0.3431875543839006
f1: 146.83, f2: 196.0, latency: 0.010000000000000009, cents_error: -13.339605243001426
f1: 146.83, f2: 207.65, latency: 0.030000000000000027, cents_error: -3.76778701770699
f1: 146.83, f2: 220.0, latency: 0.010000000000000009, cents_error: 2.765943188495918
f1: 146.83, f2: 233.08, latency: 0.010000000000000009, cents_error: 4.4960841940396366
f1: 146.83, f2: 246.94, latency: 0.010000000000000009, cents_error: -10.704650476504849
f1: 146.83, f2: 261.63, latency: 0.020000000000000018, cents_error: 4.731245938438228
f1: 155.56, f2: 138.59, latency: 0.020000000000000018, cents_error: 11.80021768469794
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, cents_error: 5.999022406894056
f1: 155.56, f2: 164.81, latency: 0.020000000000000018, cents_error: 5.753567143938066
f1: 155.56, f2: 174.61, latency: 0.010000000000000009, cents_error: -7.259128129059708
f1: 155.56, f2: 185.0, latency: 0.020000000000000018, cents_error: 8.678417193021007
f1: 155.56, f2: 196.0, latency: 0.020000000000000018, cents_error: -0.14349030419436415
f1: 155.56, f2: 207.65, latency: 0.020000000000000018, cents_error: -3.9154331326595773
f1: 155.56, f2: 220.0, latency: 0.020000000000000018, cents_error: 10.890422840886023
f1: 155.56, f2: 233.08, latency: 0.010000000000000009, cents_error: 12.174544644326208
f1: 155.56, f2: 246.94, latency: 0.010000000000000009, cents_error: -7.667920638752774
f1: 155.56, f2: 261.63, latency: 0.010000000000000009, cents_error: 2.882795022078196
f1: 164.81, f2: 138.59, latency: 0.020000000000000018, cents_error: -5.895934688024239
f1: 164.81, f2: 146.83, latency: 0.020000000000000018, cents_error: 3.4303174088062818
f1: 164.81, f2: 155.56, latency: 0.020000000000000018, cents_error: -9.573788690598962
f1: 164.81, f2: 174.61, latency: 0.020000000000000018, cents_error: 1.5879511183574795
f1: 164.81, f2: 185.0, latency: 0.010000000000000009, cents_error: 6.232766300869807
f1: 164.81, f2: 196.0, latency: 0.010000000000000009, cents_error: -8.890940048805765
f1: 164.81, f2: 207.65, latency: 0.030000000000000027, cents_error: -3.712480386688299
f1: 164.81, f2: 220.0, latency: 0.010000000000000009, cents_error: 5.051735182716917
