f1: 138.59, f2: 146.83, latency: 0.0, cents_error: 41.76465999546666
f1: 138.59, f2: 155.56, latency: 0.0040000000000000036, cents_error: -79.66008017215054
f1: 138.59, f2: 164.81, latency: 0.010000000000000009, cents_error: 0.04289757860678669
f1: 138.59, f2: 174.61, latency: 0.018000000000000016, cents_error: 4.276897134505389
f1: 138.59, f2: 185.0, latency: 0.01200000000000001, cents_error: 12.091181997029276
f1: 138.59, f2: 196.0, latency: 0.014000000000000012, cents_error: 1.7441026135895583
f1: 138.59, f2: 207.65, latency: 0.020000000000000018, cents_error: -6.757074719607095
f1: 138.59, f2: 220.0, latency: 0.010000000000000009, cents_error: 10.378099470049253
f1: 138.59, f2: 233.08, latency: 0.006000000000000005, cents_error: 13.783259438032148
f1: 138.59, f2: 246.94, latency: 0.010000000000000009, cents_error: -6.059222805912829
f1: 138.59, f2: 261.63, latency: 0.008000000000000007, cents_error: 3.5151558953822337
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, cents_error: -8.078660521310882
f1: 146.83, f2: 155.56, latency: 0.018000000000000016, cents_error: -19.263733438921726
f1: 146.83, f2: 164.81, latency: 0.01200000000000001, cents_error: -37.65006984885358
f1: 146.83, f2: 174.61, latency: 0.02200000000000002, cents_error: 4.860109055954337
f1: 146.83, f2: 185.0, latency: 0.010000000000000009, cents_error: 0.8058780409906143
f1: 146.83, f2: 196.0, latency: 0.010000000000000009, cents_error: -12.679204298460485
f1: 146.83, f2: 207.65, latency: 0.02200000000000002, cents_error: -4.816782571763887
f1: 146.83, f2: 220.0, latency: 0.010000000000000009, cents_error: 2.40735867310318
f1: 146.83, f2: 233.08, latency: 0.006000000000000005, cents_error: 7.531599126680385
f1: 146.83, f2: 246.94, latency: 0.010000000000000009, cents_error: -10.950606366718397
f1: 146.83, f2: 261.63, latency: 0.01200000000000001, cents_error: 5.8031776377781386
f1: 155.56, f2: 138.59, latency: 0.0020000000000000018, cents_error: 101.40107203864527
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, cents_error: 6.359748147263613
f1: 155.56, f2: 164.81, latency: 0.018000000000000016, cents_error: 12.051201354707713
f1: 155.56, f2: 174.61, latency: 0.010000000000000009, cents_error: -7.63931384212987
f1: 155.56, f2: 185.0, latency: 0.018000000000000016, cents_error: 10.723040848376645
f1: 155.56, f2: 196.0, latency: 0.014000000000000012, cents_error: 7.545973653440491
f1: 155.56, f2: 207.65, latency: 0.018000000000000016, cents_error: -6.507869469709041
f1: 155.56, f2: 220.0, latency: 0.01200000000000001, cents_error: 9.311026279193987
f1: 155.56, f2: 233.08, latency: 0.0040000000000000036, cents_error: 15.247238340934555
f1: 155.56, f2: 246.94, latency: 0.010000000000000009, cents_error: -7.565801857093893
f1: 155.56, f2: 261.63, latency: 0.008000000000000007, cents_error: 4.183094650173659
f1: 164.81, f2: 138.59, latency: 0.016000000000000014, cents_error: -9.780205502000674
f1: 164.81, f2: 146.83, latency: 0.006000000000000005, cents_error: 54.827177473887616
f1: 164.81, f2: 155.56, latency: 0.01200000000000001, cents_error: -32.955611441005324
f1: 164.81, f2: 174.61, latency: 0.020000000000000018, cents_error: 1.2473109241754932
f1: 164.81, f2: 185.0, latency: 0.0040000000000000036, cents_error: 1.4265622976497248
f1: 164.81, f2: 196.0, latency: 0.008000000000000007, cents_error: -13.223283921606965
f1: 164.81, f2: 207.65, latency: 0.02200000000000002, cents_error: -4.449813703430022
f1: 164.81, f2: 220.0, latency: 0.010000000000000009, cents_error: 5.046449064309763
f1: 164.81, f2: 233.08, latency: 0.006000000000000005, cents_error: 10.755414867905817
f1: 164.81, f2: 246.94, latency: 0.008000000000000007, cents_error: -12.479031288119382
f1: 164.81, f2: 261.63, latency: 0.008000000000000007, cents_error: 6.203992906238302
f1: 174.61, f2: 138.59, latency: 0.020000000000000018, cents_error: 12.064213490700437
f1: 174.61, f2: 146.83, latency: 0.02200000000000002, cents_error: -3.5309812206499345
f1: 174.61, f2: 155.56, latency: 0.0040000000000000036, cents_error: 39.919739864079624
