f1: 16.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, f_detected: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, f_detected: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, f_detected: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, f_detected: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, f_detected: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, f_detected: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, f_detected: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, f_detected: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, f_detected: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, f_detected: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, f_detected: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, f_detected: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, f_detected: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, f_detected: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, f_detected: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, f_detected: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, f_detected: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, f_detected: None, cents_error: None
f1: 29.14, f2: 30.87, latency: None, f_detected: None, cents_error: None
f1: 30.87, f2: 29.14, latency: None, f_detected: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.17999999999999994, f_detected: 32.87575222353912, cents_error: 9.279922892568562
f1: 32.7, f2: 30.87, latency: 0.0, f_detected: 36.79032887287511, cents_error: 303.7453077938783
f1: 32.7, f2: 34.65, latency: 0.040000000000000036, f_detected: 34.61173169754813, cents_error: -1.9130735926616969
f1: 34.65, f2: 32.7, latency: 0.0, f_detected: 34.87643768172836, cents_error: 111.55446412191542
f1: 34.65, f2: 36.71, latency: 0.040000000000000036, f_detected: 36.24251468347826, cents_error: -22.188065184534697
f1: 36.71, f2: 34.65, latency: 0.040000000000000036, f_detected: 34.61173169754813, cents_error: -1.9130735926616969
f1: 36.71, f2: 38.89, latency: 0.040000000000000036, f_detected: 38.898402218416244, cents_error: 0.3739942266873436
f1: 38.89, f2: 36.71, latency: 0.040000000000000036, f_detected: 36.24251468347826, cents_error: -22.188065184534697
f1: 38.89, f2: 41.2, latency: 0.17999999999999994, f_detected: 41.32540888393408, cents_error: 5.261707878448497
f1: 41.2, f2: 38.89, latency: 0.040000000000000036, f_detected: 38.898402218416244, cents_error: 0.3739942266873436
f1: 41.2, f2: 43.65, latency: 0.040000000000000036, f_detected: 43.8829525180351, cents_error: 9.214730488688923
f1: 43.65, f2: 41.2, latency: 0.17999999999999994, f_detected: 41.32540888393408, cents_error: 5.261707878448497
f1: 43.65, f2: 46.25, latency: 0.040000000000000036, f_detected: 46.489342661189596, cents_error: 8.935993560332285
f1: 46.25, f2: 43.65, latency: 0.040000000000000036, f_detected: 43.8829525180351, cents_error: 9.214730488688923
f1: 46.25, f2: 49.0, latency: 0.0, f_detected: 38.38592135397673, cents_error: -422.64536709616993
f1: 49.0, f2: 46.25, latency: 0.040000000000000036, f_detected: 46.489342661189596, cents_error: 8.935993560332285
f1: 49.0, f2: 51.91, latency: 0.0, f_detected: 47.460603410288876, cents_error: -155.13845372728227
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, f_detected: 49.218800828505, cents_error: 7.71331084641718
f1: 51.91, f2: 55.0, latency: 0.040000000000000036, f_detected: 54.95760991887863, cents_error: -1.3348263111532461
f1: 55.0, f2: 51.91, latency: 0.040000000000000036, f_detected: 52.053238185597394, cents_error: 4.770512832632245
f1: 55.0, f2: 58.27, latency: 0.0, f_detected: 32.58291149614129, cents_error: -1006.365344194549
f1: 58.27, f2: 55.0, latency: 0.040000000000000036, f_detected: 54.95760991887863, cents_error: -1.3348263111532461
f1: 58.27, f2: 61.74, latency: 0.040000000000000036, f_detected: 61.765184815678964, cents_error: 0.7060563666586533
f1: 61.74, f2: 58.27, latency: 0.040000000000000036, f_detected: 58.98179231203271, cents_error: 21.019622814031894
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, f_detected: 63.34221094395539, cents_error: -55.612787134971086
f1: 65.41, f2: 61.74, latency: 0.040000000000000036, f_detected: 61.765184815678964, cents_error: 0.7060563666586533
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, f_detected: 68.34507694047464, cents_error: -24.02151787971686
f1: 69.3, f2: 65.41, latency: 0.0, f_detected: 70.26565147976233, cents_error: 123.97008363902476
f1: 69.3, f2: 73.42, latency: 0.020000000000000018, f_detected: 73.35005594013172, cents_error: -1.650057927210989
f1: 73.42, f2: 69.3, latency: 0.0, f_detected: 67.94918686952792, cents_error: -34.07887875316836
f1: 73.42, f2: 77.78, latency: 0.040000000000000036, f_detected: 77.46169193344903, cents_error: -7.0994657208301675
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, f_detected: 73.40194770908981, cents_error: -0.4257230112053477
f1: 77.78, f2: 82.41, latency: 0.020000000000000018, f_detected: 82.74827395478654, cents_error: 7.091769529120495
f1: 82.41, f2: 77.78, latency: 0.040000000000000036, f_detected: 77.46169193344903, cents_error: -7.0994657208301675
f1: 82.41, f2: 87.31, latency: 0.0, f_detected: 81.60275044102707, cents_error: -117.03494657101093
f1: 87.31, f2: 82.41, latency: 0.020000000000000018, f_detected: 82.31709828522722, cents_error: -1.9527403876785732
f1: 87.31, f2: 92.5, latency: 0.020000000000000018, f_detected: 93.25558090103863, cents_error: 14.084040874797726
f1: 92.5, f2: 87.31, latency: 0.0, f_detected: 83.04594056919753, cents_error: -86.68470371972118
f1: 92.5, f2: 98.0, latency: 0.040000000000000036, f_detected: 97.72935920203673, cents_error: -4.787660522874845
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, f_detected: 93.13887765853221, cents_error: 11.91615825612153
f1: 98.0, f2: 103.83, latency: 0.0, f_detected: 95.79263936756007, cents_error: -139.48396509260886
f1: 103.83, f2: 98.0, latency: 0.040000000000000036, f_detected: 97.72935920203673, cents_error: -4.787660522874845
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, f_detected: 110.83467695111382, cents_error: 13.086966764525688
f1: 110.0, f2: 103.83, latency: 0.020000000000000018, f_detected: 102.51729919578919, cents_error: -22.027164837243888
f1: 110.0, f2: 116.54, latency: 0.0, f_detected: 32.64061309600649, cents_error: -2203.3021855855095
f1: 116.54, f2: 110.0, latency: 0.040000000000000036, f_detected: 110.00976731661137, cents_error: 0.15371600363908733
f1: 116.54, f2: 123.47, latency: 0.0, f_detected: 117.31798082338878, cents_error: -88.48368121397768
f1: 123.47, f2: 116.54, latency: 0.0, f_detected: 121.92032228680029, cents_error: 78.1360869625425
f1: 123.47, f2: 130.81, latency: 0.040000000000000036, f_detected: 130.2103212060422, cents_error: -7.954830247741793
f1: 130.81, f2: 123.47, latency: 0.040000000000000036, f_detected: 122.94362772993368, cents_error: -7.396303450330975
f1: 130.81, f2: 138.59, latency: 0.020000000000000018, f_detected: 138.54680616965686, cents_error: -0.5396513832909955
f1: 138.59, f2: 130.81, latency: 0.040000000000000036, f_detected: 130.2103212060422, cents_error: -7.954830247741793
f1: 138.59, f2: 146.83, latency: 0.0, f_detected: 150.39765630857787, cents_error: 41.56238219781339
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, f_detected: 137.9353959509263, cents_error: -8.196534220116083
f1: 146.83, f2: 155.56, latency: 0.020000000000000018, f_detected: 154.3828146294894, cents_error: -13.150769102734381
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, f_detected: 147.35539599747537, cents_error: 6.183749564105109
f1: 155.56, f2: 164.81, latency: 0.020000000000000018, f_detected: 165.3400400843608, cents_error: 5.558831551658396
f1: 164.81, f2: 155.56, latency: 0.020000000000000018, f_detected: 154.68069409884424, cents_error: -9.813595835849434
f1: 164.81, f2: 174.61, latency: 0.020000000000000018, f_detected: 174.76266729228678, cents_error: 1.5130137881518504
f1: 174.61, f2: 164.81, latency: 0.020000000000000018, f_detected: 165.27663296522775, cents_error: 4.894784188712708
f1: 174.61, f2: 185.0, latency: 0.020000000000000018, f_detected: 185.8717341630702, cents_error: 8.13854767110402
f1: 185.0, f2: 174.61, latency: 0.040000000000000036, f_detected: 175.46724923281022, cents_error: 8.478711655951502
f1: 185.0, f2: 196.0, latency: 0.0, f_detected: 191.9627048580543, cents_error: -36.033129215060335
f1: 196.0, f2: 185.0, latency: 0.0, f_detected: 189.64528951657852, cents_error: 42.9339205384151
f1: 196.0, f2: 207.65, latency: 0.040000000000000036, f_detected: 207.4808686408768, cents_error: -1.4106683265375144
f1: 207.65, f2: 196.0, latency: 0.020000000000000018, f_detected: 196.051966355368, cents_error: 0.45894897649523714
f1: 207.65, f2: 220.0, latency: 0.020000000000000018, f_detected: 222.07547195266469, cents_error: 16.255840189944525
f1: 220.0, f2: 207.65, latency: 0.020000000000000018, f_detected: 206.7256345504518, cents_error: -7.723888477415762
f1: 220.0, f2: 233.08, latency: 0.0, f_detected: 231.925949825568, cents_error: -8.593159115638224
f1: 233.08, f2: 220.0, latency: 0.0, f_detected: 223.49097457788915, cents_error: 27.25565673597223
f1: 233.08, f2: 246.94, latency: 0.0, f_detected: 236.7138743685577, cents_error: -73.21953435619068
f1: 246.94, f2: 233.08, latency: 0.020000000000000018, f_detected: 234.12407025412944, cents_error: 7.7376593980066035
f1: 246.94, f2: 261.63, latency: 0.020000000000000018, f_detected: 261.40100340987885, cents_error: -1.5159587737059712
f1: 261.63, f2: 246.94, latency: 0.020000000000000018, f_detected: 247.56496231307693, cents_error: 4.375918117240841
f1: 261.63, f2: 277.18, latency: 0.020000000000000018, f_detected: 278.77701042961377, cents_error: 9.946115923407477
f1: 277.18, f2: 261.63, latency: 0.020000000000000018, f_detected: 262.9675672325773, cents_error: 8.828279422523217
f1: 277.18, f2: 293.66, latency: 0.020000000000000018, f_detected: 293.3888325844895, cents_error: -1.599370512504605
f1: 293.66, f2: 277.18, latency: 0.020000000000000018, f_detected: 278.69474983872146, cents_error: 9.435193767228148
f1: 293.66, f2: 311.13, latency: 0.020000000000000018, f_detected: 311.8525734733031, cents_error: 4.015985082589897
f1: 311.13, f2: 293.66, latency: 0.020000000000000018, f_detected: 292.76387444026886, cents_error: -5.291067967904445
f1: 311.13, f2: 329.63, latency: 0.020000000000000018, f_detected: 331.65135336976056, cents_error: 10.5838359427662
f1: 329.63, f2: 311.13, latency: 0.020000000000000018, f_detected: 311.34898347694264, cents_error: 1.2180705764166264
f1: 329.63, f2: 349.23, latency: 0.020000000000000018, f_detected: 349.72549923000514, cents_error: 2.4545919816607698
f1: 349.23, f2: 329.63, latency: 0.020000000000000018, f_detected: 331.86385478297694, cents_error: 11.692747057667198
