f1: 16.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, f_detected: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, f_detected: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, f_detected: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, f_detected: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, f_detected: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, f_detected: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, f_detected: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, f_detected: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, f_detected: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, f_detected: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, f_detected: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, f_detected: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, f_detected: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, f_detected: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, f_detected: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, f_detected: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, f_detected: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, f_detected: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, f_detected: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.9610000000000001, f_detected: 32.618274823961414, cents_error: 95.36999660832845
f1: 30.87, f2: 29.14, latency: None, f_detected: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.050999999999999934, f_detected: 32.96998463175847, cents_error: 14.235094565005916
f1: 32.7, f2: 30.87, latency: 0.0, f_detected: 37.0131773065167, cents_error: 314.2002031930367
f1: 32.7, f2: 34.65, latency: 0.028999999999999915, f_detected: 34.674527436051264, cents_error: 1.2250421537813894
f1: 34.65, f2: 32.7, latency: 0.050999999999999934, f_detected: 32.96998463175847, cents_error: 14.235094565005916
f1: 34.65, f2: 36.71, latency: 0.004999999999999893, f_detected: 38.34397947598997, cents_error: 75.39235009785175
f1: 36.71, f2: 34.65, latency: 0.028999999999999915, f_detected: 34.671321229106326, cents_error: 1.064954859668273
f1: 36.71, f2: 38.89, latency: 0.0029999999999998916, f_detected: 43.67168759713303, cents_error: 200.75885667243844
f1: 38.89, f2: 36.71, latency: 0.028000000000000025, f_detected: 36.87945471191232, cents_error: 7.973052299574274
f1: 38.89, f2: 41.2, latency: 0.933, f_detected: 41.384850658111986, cents_error: 7.750096663117829
f1: 41.2, f2: 38.89, latency: 0.02200000000000002, f_detected: 38.489215101869966, cents_error: -17.93398048477738
f1: 41.2, f2: 43.65, latency: 0.016999999999999904, f_detected: 46.40105085417788, cents_error: 105.81098985664768
f1: 43.65, f2: 41.2, latency: 0.933, f_detected: 41.384850658111986, cents_error: 7.750096663117829
f1: 43.65, f2: 46.25, latency: 0.02299999999999991, f_detected: 47.564342702267204, cents_error: 48.512491061395664
f1: 46.25, f2: 43.65, latency: 0.016999999999999904, f_detected: 46.53165989222331, cents_error: 110.67719812363065
f1: 46.25, f2: 49.0, latency: 0.0, f_detected: 38.54892748711474, cents_error: -415.3092328364168
f1: 49.0, f2: 46.25, latency: 0.020000000000000018, f_detected: 47.467525879027946, cents_error: 44.984987258599006
f1: 49.0, f2: 51.91, latency: 0.0, f_detected: 47.25557601157023, cents_error: -162.63349776769377
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, f_detected: 49.23198712175651, cents_error: 8.177066606422624
f1: 51.91, f2: 55.0, latency: 0.02400000000000002, f_detected: 55.335291796990035, cents_error: 10.5219345990146
f1: 55.0, f2: 51.91, latency: 0.02299999999999991, f_detected: 51.96554819011961, cents_error: 1.8515796824465898
f1: 55.0, f2: 58.27, latency: 0.0, f_detected: 32.5684685417379, cents_error: -1007.1329145768597
f1: 58.27, f2: 55.0, latency: 0.040000000000000036, f_detected: 55.099730415862275, cents_error: 3.13636987553538
f1: 58.27, f2: 61.74, latency: 0.02400000000000002, f_detected: 62.83994461783233, cents_error: 30.57171144250157
f1: 61.74, f2: 58.27, latency: 0.03299999999999992, f_detected: 58.559538150311255, cents_error: 8.581037612525288
f1: 61.74, f2: 65.41, latency: 0.018000000000000016, f_detected: 63.00972800384251, cents_error: -64.72395899365291
f1: 65.41, f2: 61.74, latency: 0.026000000000000023, f_detected: 62.857389101749554, cents_error: 31.05223849627614
f1: 65.41, f2: 69.3, latency: 0.0, f_detected: 63.99048952348846, cents_error: -137.9974192659126
f1: 69.3, f2: 65.41, latency: 0.0, f_detected: 70.25348772217625, cents_error: 123.67036202857655
f1: 69.3, f2: 73.42, latency: 0.006000000000000005, f_detected: 74.86295194687517, cents_error: 33.6945867932363
f1: 73.42, f2: 69.3, latency: 0.0, f_detected: 67.81115329873364, cents_error: -37.599325147502014
f1: 73.42, f2: 77.78, latency: 0.02299999999999991, f_detected: 78.43943797114797, cents_error: 14.615956435140243
f1: 77.78, f2: 73.42, latency: 0.018999999999999906, f_detected: 73.24151675308852, cents_error: -4.213735595074984
f1: 77.78, f2: 82.41, latency: 0.014999999999999902, f_detected: 82.82468569879984, cents_error: 8.689694971205926
f1: 82.41, f2: 77.78, latency: 0.02299999999999991, f_detected: 78.43460677841671, cents_error: 14.50932406813576
f1: 82.41, f2: 87.31, latency: 0.0, f_detected: 81.64836889305238, cents_error: -116.06740380879637
f1: 87.31, f2: 82.41, latency: 0.014000000000000012, f_detected: 82.91026979909566, cents_error: 10.477683765914257
f1: 87.31, f2: 92.5, latency: 0.010999999999999899, f_detected: 93.8824940554146, cents_error: 25.683363556754202
f1: 92.5, f2: 87.31, latency: 0.0, f_detected: 82.98019343177486, cents_error: -88.05585759943553
f1: 92.5, f2: 98.0, latency: 0.02499999999999991, f_detected: 97.47926984758237, cents_error: -9.223565274885392
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, f_detected: 93.13966934297812, cents_error: 11.930873757084738
f1: 98.0, f2: 103.83, latency: 0.0, f_detected: 95.73313147431152, cents_error: -140.55976908329296
f1: 103.83, f2: 98.0, latency: 0.02299999999999991, f_detected: 98.16184624403394, cents_error: 2.8567613664843847
f1: 103.83, f2: 110.0, latency: 0.016000000000000014, f_detected: 111.00662735863204, cents_error: 15.770745250126065
f1: 110.0, f2: 103.83, latency: 0.018000000000000016, f_detected: 102.43076948401459, cents_error: -23.489029719857047
f1: 110.0, f2: 116.54, latency: 0.0, f_detected: 32.63245193106159, cents_error: -2203.735101879556
f1: 116.54, f2: 110.0, latency: 0.02499999999999991, f_detected: 110.01278588854746, cents_error: 0.20121890222372527
f1: 116.54, f2: 123.47, latency: 0.0, f_detected: 117.46707333342027, cents_error: -86.28495467707043
f1: 123.47, f2: 116.54, latency: 0.0, f_detected: 121.94750615226724, cents_error: 78.52204712774966
f1: 123.47, f2: 130.81, latency: 0.02299999999999991, f_detected: 131.03158848285426, cents_error: 2.930180955598163
f1: 130.81, f2: 123.47, latency: 0.020999999999999908, f_detected: 122.76769090091562, cents_error: -9.875537069947473
f1: 130.81, f2: 138.59, latency: 0.020000000000000018, f_detected: 138.53284249659407, cents_error: -0.7141455144419747
f1: 138.59, f2: 130.81, latency: 0.02299999999999991, f_detected: 130.80855482787402, cents_error: -0.019126557693379488
f1: 138.59, f2: 146.83, latency: 0.0, f_detected: 150.41340717609725, cents_error: 41.743681634482414
f1: 146.83, f2: 138.59, latency: 0.020000000000000018, f_detected: 137.94741984999564, cents_error: -8.045628239081198
f1: 146.83, f2: 155.56, latency: 0.016999999999999904, f_detected: 152.649571717323, cents_error: -32.69711765402215
f1: 155.56, f2: 146.83, latency: 0.020000000000000018, f_detected: 147.35456653386586, cents_error: 6.174004419211333
f1: 155.56, f2: 164.81, latency: 0.018999999999999906, f_detected: 165.96080627573332, cents_error: 12.046547091860822
f1: 164.81, f2: 155.56, latency: 0.004999999999999893, f_detected: 151.5953912267194, cents_error: -44.6942954880589
f1: 164.81, f2: 174.61, latency: 0.018999999999999906, f_detected: 174.02056899937702, cents_error: -5.854013278809912
f1: 174.61, f2: 164.81, latency: 0.018999999999999906, f_detected: 166.2830605267712, cents_error: 15.404909804006982
f1: 174.61, f2: 185.0, latency: 0.0009999999999998899, f_detected: 192.75139961897673, cents_error: 71.05927827317986
f1: 185.0, f2: 174.61, latency: 0.020999999999999908, f_detected: 175.4511689286738, cents_error: 8.320049308129343
f1: 185.0, f2: 196.0, latency: 0.0, f_detected: 191.9679578811325, cents_error: -35.98575497123635
f1: 196.0, f2: 185.0, latency: 0.0, f_detected: 189.5773730901274, cents_error: 42.313813974044756
f1: 196.0, f2: 207.65, latency: 0.02299999999999991, f_detected: 207.31574046236815, cents_error: -2.7890573197086805
f1: 207.65, f2: 196.0, latency: 0.020000000000000018, f_detected: 196.08569974547746, cents_error: 0.7568055648340369
f1: 207.65, f2: 220.0, latency: 0.006000000000000005, f_detected: 225.6242862205719, cents_error: 43.702613019165476
f1: 220.0, f2: 207.65, latency: 0.0009999999999998899, f_detected: 203.2444680818659, cents_error: -37.12534352887601
f1: 220.0, f2: 233.08, latency: 0.0, f_detected: 231.91523340663935, cents_error: -8.673154726236731
f1: 233.08, f2: 220.0, latency: 0.0, f_detected: 223.50514929991508, cents_error: 27.365455278307163
f1: 233.08, f2: 246.94, latency: 0.0, f_detected: 236.73662703329003, cents_error: -73.05313813185343
f1: 246.94, f2: 233.08, latency: 0.0040000000000000036, f_detected: 239.8979991539349, cents_error: 49.915091070198784
f1: 246.94, f2: 261.63, latency: 0.01200000000000001, f_detected: 260.21073847147414, cents_error: -9.416972496895717
f1: 261.63, f2: 246.94, latency: 0.020000000000000018, f_detected: 247.5919770560052, cents_error: 4.564823246552393
f1: 261.63, f2: 277.18, latency: 0.0129999999999999, f_detected: 277.2619911479708, cents_error: 0.5120314492408707
f1: 277.18, f2: 261.63, latency: 0.014000000000000012, f_detected: 263.52984332946517, cents_error: 12.52604459460898
f1: 277.18, f2: 293.66, latency: 0.010000000000000009, f_detected: 296.033650522756, cents_error: 13.93729369806837
f1: 293.66, f2: 277.18, latency: 0.004999999999999893, f_detected: 272.4741613154987, cents_error: -29.64448482043112
f1: 293.66, f2: 311.13, latency: 0.016000000000000014, f_detected: 312.269610518804, cents_error: 6.329598855228091
f1: 311.13, f2: 293.66, latency: 0.0040000000000000036, f_detected: 289.4272184911926, cents_error: -25.135396426786105
f1: 311.13, f2: 329.63, latency: 0.016000000000000014, f_detected: 331.5196226422117, cents_error: 9.89605939014353
f1: 329.63, f2: 311.13, latency: 0.016000000000000014, f_detected: 311.7426847646089, cents_error: 3.405835875855938
f1: 329.63, f2: 349.23, latency: 0.0129999999999999, f_detected: 349.77271007531203, cents_error: 2.68828242408743
f1: 349.23, f2: 329.63, latency: 0.020000000000000018, f_detected: 331.84502815069584, cents_error: 11.59453138606418
