f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.964, cents_error: 94.87490133568075
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.05400000000000005, cents_error: 9.31356103647083
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 313.32451496266793
f1: 32.7, f2: 34.65, latency: 0.030000000000000027, cents_error: 1.207420280754226
f1: 34.65, f2: 32.7, latency: 0.05400000000000005, cents_error: 9.31356103647083
f1: 34.65, f2: 36.71, latency: 0.006000000000000005, cents_error: 78.44531593554746
f1: 36.71, f2: 34.65, latency: 0.030000000000000027, cents_error: 1.118820567113637
f1: 36.71, f2: 38.89, latency: 0.0040000000000000036, cents_error: 196.94765981835457
f1: 38.89, f2: 36.71, latency: 0.028000000000000025, cents_error: 8.508290395088093
f1: 38.89, f2: 41.2, latency: 0.956, cents_error: 28.990166150176375
f1: 41.2, f2: 38.89, latency: 0.02200000000000002, cents_error: -17.968025777026998
f1: 41.2, f2: 43.65, latency: 0.026000000000000023, cents_error: 29.82370762875613
f1: 43.65, f2: 41.2, latency: 0.956, cents_error: 28.990166150176375
f1: 43.65, f2: 46.25, latency: 0.02400000000000002, cents_error: 42.40538903145785
f1: 46.25, f2: 43.65, latency: 0.026000000000000023, cents_error: 32.01519311630911
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -413.6696025792073
f1: 49.0, f2: 46.25, latency: 0.020000000000000018, cents_error: 45.23320751655594
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -162.7881028745412
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, cents_error: 7.9344952775384145
f1: 51.91, f2: 55.0, latency: 0.02400000000000002, cents_error: 10.869731792876083
f1: 55.0, f2: 51.91, latency: 0.02400000000000002, cents_error: 2.27501150405396
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -1006.9725215418645
f1: 58.27, f2: 55.0, latency: 0.040000000000000036, cents_error: 3.2355240020360316
f1: 58.27, f2: 61.74, latency: 0.02400000000000002, cents_error: 30.201581741599057
f1: 61.74, f2: 58.27, latency: 0.038000000000000034, cents_error: 23.762089275045746
f1: 61.74, f2: 65.41, latency: 0.018000000000000016, cents_error: -63.98639194670873
f1: 65.41, f2: 61.74, latency: 0.026000000000000023, cents_error: 30.863132373629846
f1: 65.41, f2: 69.3, latency: 0.0, cents_error: -139.8020556656947
f1: 69.3, f2: 65.41, latency: 0.0, cents_error: 123.97322170573521
f1: 69.3, f2: 73.42, latency: 0.006000000000000005, cents_error: 34.01123373382084
f1: 73.42, f2: 69.3, latency: 0.0, cents_error: -37.47113570364227
f1: 73.42, f2: 77.78, latency: 0.02400000000000002, cents_error: 8.428550813719786
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, cents_error: 0.5381010283507089
f1: 77.78, f2: 82.41, latency: 0.016000000000000014, cents_error: 6.739406199830925
f1: 82.41, f2: 77.78, latency: 0.02200000000000002, cents_error: 16.32089408533928
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -116.14902063378486
f1: 87.31, f2: 82.41, latency: 0.014000000000000012, cents_error: 10.782324576305164
f1: 87.31, f2: 92.5, latency: 0.01200000000000001, cents_error: 26.66563257699982
f1: 92.5, f2: 87.31, latency: 0.0, cents_error: -88.21753655129554
f1: 92.5, f2: 98.0, latency: 0.026000000000000023, cents_error: -10.621950808170855
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, cents_error: 11.984385905917492
f1: 98.0, f2: 103.83, latency: 0.0, cents_error: -141.23382936990802
f1: 103.83, f2: 98.0, latency: 0.02400000000000002, cents_error: -0.049774062575624625
f1: 103.83, f2: 110.0, latency: 0.016000000000000014, cents_error: 15.61824016494175
f1: 110.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -20.719969604214278
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2203.359890270886
f1: 116.54, f2: 110.0, latency: 0.026000000000000023, cents_error: 1.2846085032972685
f1: 116.54, f2: 123.47, latency: 0.0, cents_error: -86.74916339444846
