f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.05800000000000005, cents_error: 94.80305214367026
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.03600000000000003, cents_error: 13.717388699388886
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 301.35506978889424
f1: 32.7, f2: 34.65, latency: 0.006000000000000005, cents_error: -89.20144188553257
f1: 34.65, f2: 32.7, latency: 0.0040000000000000036, cents_error: 128.30660324586037
f1: 34.65, f2: 36.71, latency: 0.0040000000000000036, cents_error: 70.75564153022388
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: 11.616367592506267
f1: 36.71, f2: 38.89, latency: 0.02200000000000002, cents_error: 14.703405326280343
f1: 38.89, f2: 36.71, latency: 0.02400000000000002, cents_error: -0.6662021930607255
f1: 38.89, f2: 41.2, latency: 0.030000000000000027, cents_error: 11.66838195497034
f1: 41.2, f2: 38.89, latency: 0.02400000000000002, cents_error: -2.7578954395511963
f1: 41.2, f2: 43.65, latency: 0.016000000000000014, cents_error: 79.30786258344904
f1: 43.65, f2: 41.2, latency: 0.028000000000000025, cents_error: 8.33000301979276
f1: 43.65, f2: 46.25, latency: 0.026000000000000023, cents_error: 13.875958942019171
f1: 46.25, f2: 43.65, latency: 0.020000000000000018, cents_error: 55.488022394978
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -409.09783915904785
f1: 49.0, f2: 46.25, latency: 0.026000000000000023, cents_error: 9.824053188003532
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -173.74089468596392
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, cents_error: 11.206960177301271
f1: 51.91, f2: 55.0, latency: 0.0020000000000000018, cents_error: 64.94998558155791
f1: 55.0, f2: 51.91, latency: 0.018000000000000016, cents_error: -13.638921536283314
f1: 55.0, f2: 58.27, latency: 0.0020000000000000018, cents_error: -988.0162489127332
f1: 58.27, f2: 55.0, latency: 0.02400000000000002, cents_error: -3.658716657533881
f1: 58.27, f2: 61.74, latency: 0.028000000000000025, cents_error: 7.9766576685985955
f1: 61.74, f2: 58.27, latency: 0.030000000000000027, cents_error: 6.0282013278976425
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, cents_error: 1.34493575287849
f1: 65.41, f2: 61.74, latency: 0.028000000000000025, cents_error: 5.840915727802609
f1: 65.41, f2: 69.3, latency: 0.018000000000000016, cents_error: -29.79103203393248
f1: 69.3, f2: 65.41, latency: 0.02200000000000002, cents_error: 0.08259566440354338
f1: 69.3, f2: 73.42, latency: 0.010000000000000009, cents_error: 30.7859684945053
f1: 73.42, f2: 69.3, latency: 0.010000000000000009, cents_error: -35.60631922033676
f1: 73.42, f2: 77.78, latency: 0.02200000000000002, cents_error: 10.035859271186675
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, cents_error: 1.6849822448607832
f1: 77.78, f2: 82.41, latency: 0.016000000000000014, cents_error: 11.483263642861218
f1: 82.41, f2: 77.78, latency: 0.02200000000000002, cents_error: 11.522460036605574
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -119.13066874513589
f1: 87.31, f2: 82.41, latency: 0.01200000000000001, cents_error: 15.857530338774966
f1: 87.31, f2: 92.5, latency: 0.01200000000000001, cents_error: 11.747084859205794
f1: 92.5, f2: 87.31, latency: 0.010000000000000009, cents_error: -49.68631993318434
f1: 92.5, f2: 98.0, latency: 0.0040000000000000036, cents_error: -1640.6062937596087
f1: 98.0, f2: 92.5, latency: 0.0, cents_error: -1534.9040538364818
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -12.766913618445958
f1: 103.83, f2: 98.0, latency: 0.0, cents_error: -1757.736001347994
f1: 103.83, f2: 110.0, latency: 0.01200000000000001, cents_error: 31.819857545204428
f1: 110.0, f2: 103.83, latency: 0.018000000000000016, cents_error: -22.185416109352275
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2201.492352072936
f1: 116.54, f2: 110.0, latency: 0.02200000000000002, cents_error: 2.2659859917226126
