f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: None, cents_error: None
f1: 30.87, f2: 29.14, latency: 0.0, cents_error: 358.0201832807606
f1: 30.87, f2: 32.7, latency: 0.02499999999999991, cents_error: -6.233514294545048
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 300.351001396546
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -109.72848583796862
f1: 34.65, f2: 32.7, latency: 0.0, cents_error: 123.83003991314823
f1: 34.65, f2: 36.71, latency: 0.018999999999999906, cents_error: 22.130844269842356
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: -17.560035259101237
f1: 36.71, f2: 38.89, latency: 0.0009999999999998899, cents_error: 199.8965842738452
f1: 38.89, f2: 36.71, latency: 0.02299999999999991, cents_error: -27.012351045637054
f1: 38.89, f2: 41.2, latency: 0.028000000000000025, cents_error: 31.978318573524213
f1: 41.2, f2: 38.89, latency: 0.030000000000000027, cents_error: -0.8282828669104564
f1: 41.2, f2: 43.65, latency: 0.02200000000000002, cents_error: 40.795527946759464
f1: 43.65, f2: 41.2, latency: 0.028000000000000025, cents_error: 26.343228316528748
f1: 43.65, f2: 46.25, latency: 0.0, cents_error: -597.6812122257779
f1: 46.25, f2: 43.65, latency: 0.02200000000000002, cents_error: 43.94423249864061
f1: 46.25, f2: 49.0, latency: 0.028000000000000025, cents_error: 1.3976570488324533
f1: 49.0, f2: 46.25, latency: 0.02499999999999991, cents_error: 9.695299334987272
f1: 49.0, f2: 51.91, latency: 0.016999999999999904, cents_error: -31.866883500905757
f1: 51.91, f2: 49.0, latency: 0.0, cents_error: 173.14039598690292
f1: 51.91, f2: 55.0, latency: 0.004999999999999893, cents_error: 36.235483129153
f1: 55.0, f2: 51.91, latency: 0.0009999999999998899, cents_error: -47.67664822867627
f1: 55.0, f2: 58.27, latency: 0.028999999999999915, cents_error: 8.457196609188973
f1: 58.27, f2: 55.0, latency: 0.026999999999999913, cents_error: -3.4114176605549003
f1: 58.27, f2: 61.74, latency: 0.026999999999999913, cents_error: 12.981071410522203
f1: 61.74, f2: 58.27, latency: 0.030000000000000027, cents_error: 12.06854538120643
f1: 61.74, f2: 65.41, latency: 0.02200000000000002, cents_error: -20.052137660543963
f1: 65.41, f2: 61.74, latency: 0.026999999999999913, cents_error: 14.19662379314593
f1: 65.41, f2: 69.3, latency: 0.016999999999999904, cents_error: -30.47652263121135
f1: 69.3, f2: 65.41, latency: 0.02200000000000002, cents_error: -15.006741764022184
f1: 69.3, f2: 73.42, latency: 0.018999999999999906, cents_error: 2.0382986969774772
f1: 73.42, f2: 69.3, latency: 0.0129999999999999, cents_error: -39.14167311723467
f1: 73.42, f2: 77.78, latency: 0.026999999999999913, cents_error: 4.5126960586924705
f1: 77.78, f2: 73.42, latency: 0.02400000000000002, cents_error: -2.060497773361282
f1: 77.78, f2: 82.41, latency: 0.020999999999999908, cents_error: 2.1993595663704735
f1: 82.41, f2: 77.78, latency: 0.026999999999999913, cents_error: 4.992267622128643
f1: 82.41, f2: 87.31, latency: 0.0040000000000000036, cents_error: -98.91780478813536
f1: 87.31, f2: 82.41, latency: 0.016000000000000014, cents_error: 29.70064611606244
f1: 87.31, f2: 92.5, latency: 0.016999999999999904, cents_error: 0.6041583813517999
f1: 92.5, f2: 87.31, latency: 0.014999999999999902, cents_error: -17.831059170198177
f1: 92.5, f2: 98.0, latency: 0.02400000000000002, cents_error: -9.943824985953913
f1: 98.0, f2: 92.5, latency: 0.018999999999999906, cents_error: 0.9880937154248799
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -7.960306049280334
f1: 103.83, f2: 98.0, latency: 0.02200000000000002, cents_error: 7.625375106645847
f1: 103.83, f2: 110.0, latency: 0.0029999999999998916, cents_error: -1822.7205718892374
f1: 110.0, f2: 103.83, latency: 0.0, cents_error: -1969.9836340733386
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2204.2838497519256
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2116.4734148277257
