f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: None, cents_error: None
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.1499999999999999, cents_error: 11.060316082846951
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 309.6633970382491
f1: 32.7, f2: 34.65, latency: 0.030000000000000027, cents_error: 1.179869344474877
f1: 34.65, f2: 32.7, latency: 0.0, cents_error: 117.1869637382584
f1: 34.65, f2: 36.71, latency: 0.030000000000000027, cents_error: 14.087269908417197
f1: 36.71, f2: 34.65, latency: 0.030000000000000027, cents_error: 1.13856954925171
f1: 36.71, f2: 38.89, latency: 0.030000000000000027, cents_error: -11.114721599652734
f1: 38.89, f2: 36.71, latency: 0.030000000000000027, cents_error: 13.44014386468345
f1: 38.89, f2: 41.2, latency: 0.94, cents_error: 7.093576259516511
f1: 41.2, f2: 38.89, latency: 0.030000000000000027, cents_error: -24.580229194382657
f1: 41.2, f2: 43.65, latency: 0.030000000000000027, cents_error: 1.2401567852935231
f1: 43.65, f2: 41.2, latency: 0.94, cents_error: 7.093576259516511
f1: 43.65, f2: 46.25, latency: 0.030000000000000027, cents_error: 26.483744609629767
f1: 46.25, f2: 43.65, latency: 0.030000000000000027, cents_error: 1.4687033132588565
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -411.5124867537903
f1: 49.0, f2: 46.25, latency: 0.030000000000000027, cents_error: 22.95021504104959
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -154.1352906122543
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, cents_error: 8.340231930275005
f1: 51.91, f2: 55.0, latency: 0.06000000000000005, cents_error: -9.480604004644167
f1: 55.0, f2: 51.91, latency: 0.030000000000000027, cents_error: 2.848922451731268
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -1006.0900837699086
f1: 58.27, f2: 55.0, latency: 0.06000000000000005, cents_error: -9.480604004644167
f1: 58.27, f2: 61.74, latency: 0.030000000000000027, cents_error: 21.280441818772054
f1: 61.74, f2: 58.27, latency: 0.040000000000000036, cents_error: 33.09275473254328
f1: 61.74, f2: 65.41, latency: 0.030000000000000027, cents_error: -4.607381486309483
f1: 65.41, f2: 61.74, latency: 0.030000000000000027, cents_error: 20.83075704281699
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, cents_error: -27.31625450744197
f1: 69.3, f2: 65.41, latency: 0.0, cents_error: 119.17005214146066
f1: 69.3, f2: 73.42, latency: 0.010000000000000009, cents_error: 31.66836067332412
f1: 73.42, f2: 69.3, latency: 0.0, cents_error: -36.78379705508116
f1: 73.42, f2: 77.78, latency: 0.030000000000000027, cents_error: -3.297947238331468
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, cents_error: -0.4704623375932029
f1: 77.78, f2: 82.41, latency: 0.020000000000000018, cents_error: 6.5407907566973345
f1: 82.41, f2: 77.78, latency: 0.030000000000000027, cents_error: -3.4936860176036637
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -118.55485281892693
f1: 87.31, f2: 82.41, latency: 0.020000000000000018, cents_error: -2.9546541205807317
f1: 87.31, f2: 92.5, latency: 0.020000000000000018, cents_error: 14.11726581193804
f1: 92.5, f2: 87.31, latency: 0.0, cents_error: -87.31717076410389
f1: 92.5, f2: 98.0, latency: 0.030000000000000027, cents_error: -6.387769070036216
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, cents_error: 12.179422822378854
f1: 98.0, f2: 103.83, latency: 0.0, cents_error: -139.84585738396459
f1: 103.83, f2: 98.0, latency: 0.030000000000000027, cents_error: -5.1455101112648665
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, cents_error: 13.013700483690878
f1: 110.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -22.80190509995745
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2203.181186939844
f1: 116.54, f2: 110.0, latency: 0.030000000000000027, cents_error: 0.9029902939743095
f1: 116.54, f2: 123.47, latency: 0.0, cents_error: -88.71364536907338
