f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: None, cents_error: None
f1: 30.87, f2: 29.14, latency: 0.0, cents_error: 404.46032378997285
f1: 30.87, f2: 32.7, latency: 0.040000000000000036, cents_error: 6.076882423453068
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 287.9388617874386
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -98.89171130887169
f1: 34.65, f2: 32.7, latency: 0.040000000000000036, cents_error: 6.076882423453068
f1: 34.65, f2: 36.71, latency: 0.0, cents_error: 17.768931237288946
f1: 36.71, f2: 34.65, latency: 0.07000000000000006, cents_error: 5.157735320128563
f1: 36.71, f2: 38.89, latency: 0.010000000000000009, cents_error: 179.57661373135178
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -199.47837532621674
f1: 38.89, f2: 41.2, latency: 0.040000000000000036, cents_error: 10.158663540531638
f1: 41.2, f2: 38.89, latency: 0.030000000000000027, cents_error: -0.8936432337796757
f1: 41.2, f2: 43.65, latency: 0.020000000000000018, cents_error: 26.366426539148094
f1: 43.65, f2: 41.2, latency: 0.040000000000000036, cents_error: 10.158663540531638
f1: 43.65, f2: 46.25, latency: 0.030000000000000027, cents_error: 3.129163124963825
f1: 46.25, f2: 43.65, latency: 0.020000000000000018, cents_error: 29.357531334422887
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -393.75204984709313
f1: 49.0, f2: 46.25, latency: 0.030000000000000027, cents_error: 2.1246691012548813
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -155.79293177775696
f1: 51.91, f2: 49.0, latency: 0.0, cents_error: 146.73046110917855
f1: 51.91, f2: 55.0, latency: 0.0, cents_error: 49.06791894301085
f1: 55.0, f2: 51.91, latency: 0.0, cents_error: -64.10819105069638
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -991.7015103477667
f1: 58.27, f2: 55.0, latency: 0.030000000000000027, cents_error: 30.574100734284595
f1: 58.27, f2: 61.74, latency: 0.030000000000000027, cents_error: 7.797795135314527
f1: 61.74, f2: 58.27, latency: 0.030000000000000027, cents_error: 5.971038315947037
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, cents_error: -16.361684419350603
f1: 65.41, f2: 61.74, latency: 0.030000000000000027, cents_error: 7.079560894439093
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, cents_error: -1.572019245466832
f1: 69.3, f2: 65.41, latency: 0.0, cents_error: 144.43080841474753
f1: 69.3, f2: 73.42, latency: 0.020000000000000018, cents_error: 2.773019881542324
f1: 73.42, f2: 69.3, latency: 0.020000000000000018, cents_error: -2.33111440170194
f1: 73.42, f2: 77.78, latency: 0.030000000000000027, cents_error: 6.55564696648681
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, cents_error: -11.56362453287357
f1: 77.78, f2: 82.41, latency: 0.020000000000000018, cents_error: 9.497250855106593
f1: 82.41, f2: 77.78, latency: 0.030000000000000027, cents_error: 6.555063073661472
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -116.26455264538811
f1: 87.31, f2: 82.41, latency: 0.0, cents_error: 126.08218560140126
f1: 87.31, f2: 92.5, latency: 0.020000000000000018, cents_error: 0.08682626389621137
f1: 92.5, f2: 87.31, latency: 0.020000000000000018, cents_error: 3.3196974850787035
f1: 92.5, f2: 98.0, latency: 0.020000000000000018, cents_error: -5.931234521611617
f1: 98.0, f2: 92.5, latency: 0.020000000000000018, cents_error: 6.102806177057019
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -21.233015067543185
f1: 103.83, f2: 98.0, latency: 0.020000000000000018, cents_error: 7.501106398624868
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, cents_error: 8.465774090657401
f1: 110.0, f2: 103.83, latency: 0.0, cents_error: -1974.3227349393603
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2201.4304980917896
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2126.2643895460033
f1: 116.54, f2: 123.47, latency: 0.0, cents_error: -71.32086932051357
