f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.98, cents_error: 101.21810754926929
f1: 30.87, f2: 29.14, latency: 0.0, cents_error: 402.7801770224654
f1: 30.87, f2: 32.7, latency: 0.02499999999999991, cents_error: -0.3983672663203765
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 293.2915738628981
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -101.71769066763001
f1: 34.65, f2: 32.7, latency: 0.02499999999999991, cents_error: 14.663062194375652
f1: 34.65, f2: 36.71, latency: 0.0, cents_error: 11.10769234235382
f1: 36.71, f2: 34.65, latency: 0.05499999999999994, cents_error: 2.838348658597769
f1: 36.71, f2: 38.89, latency: 0.02499999999999991, cents_error: 6.930403817183873
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -199.39455714152422
f1: 38.89, f2: 41.2, latency: 0.03499999999999992, cents_error: -2.4422976555583205
f1: 41.2, f2: 38.89, latency: 0.030000000000000027, cents_error: 3.60971127672495
f1: 41.2, f2: 43.65, latency: 0.020000000000000018, cents_error: 27.969252378198664
f1: 43.65, f2: 41.2, latency: 0.03499999999999992, cents_error: -2.4422976555583205
f1: 43.65, f2: 46.25, latency: 0.030000000000000027, cents_error: 0.7963310417814494
f1: 46.25, f2: 43.65, latency: 0.020000000000000018, cents_error: 30.59020204449219
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -392.5186745223739
f1: 49.0, f2: 46.25, latency: 0.02499999999999991, cents_error: 11.618145395992949
f1: 49.0, f2: 51.91, latency: 0.004999999999999893, cents_error: -112.84669692964668
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, cents_error: 2.245481546226355
f1: 51.91, f2: 55.0, latency: 0.0, cents_error: 46.348499616371456
f1: 55.0, f2: 51.91, latency: 0.010000000000000009, cents_error: -43.19533757385096
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -991.5498174050018
f1: 58.27, f2: 55.0, latency: 0.02499999999999991, cents_error: 16.95392710718784
f1: 58.27, f2: 61.74, latency: 0.030000000000000027, cents_error: 6.654632436793454
f1: 61.74, f2: 58.27, latency: 0.02499999999999991, cents_error: -27.841070665686583
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, cents_error: -18.83802885105187
f1: 65.41, f2: 61.74, latency: 0.030000000000000027, cents_error: 6.087666386877858
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, cents_error: 5.277573423595864
f1: 69.3, f2: 65.41, latency: 0.020000000000000018, cents_error: 9.65592371343676
f1: 69.3, f2: 73.42, latency: 0.020000000000000018, cents_error: 0.7160565586394851
f1: 73.42, f2: 69.3, latency: 0.010000000000000009, cents_error: -17.91681873430855
f1: 73.42, f2: 77.78, latency: 0.02499999999999991, cents_error: 9.266595608008139
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, cents_error: -11.478365832504842
f1: 77.78, f2: 82.41, latency: 0.020000000000000018, cents_error: 9.933387149626887
f1: 82.41, f2: 77.78, latency: 0.02499999999999991, cents_error: 8.688220025804203
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -121.37680320583382
f1: 87.31, f2: 82.41, latency: 0.014999999999999902, cents_error: 19.35269671562509
f1: 87.31, f2: 92.5, latency: 0.014999999999999902, cents_error: 2.3174592184403053
f1: 92.5, f2: 87.31, latency: 0.014999999999999902, cents_error: -18.40180890013693
f1: 92.5, f2: 98.0, latency: 0.020000000000000018, cents_error: -3.1073397167886405
f1: 98.0, f2: 92.5, latency: 0.014999999999999902, cents_error: 9.587288006878474
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -24.176711867768137
f1: 103.83, f2: 98.0, latency: 0.020000000000000018, cents_error: 8.326638192764378
f1: 103.83, f2: 110.0, latency: 0.014999999999999902, cents_error: 24.23278829822828
f1: 110.0, f2: 103.83, latency: 0.0, cents_error: -1977.7717918066871
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2200.5813383599275
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2126.813616339183
