f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.964, cents_error: 80.20935303877998
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.02499999999999991, cents_error: -15.88980655579494
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 320.4018933702011
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -111.94637346875284
f1: 34.65, f2: 32.7, latency: 0.0, cents_error: 169.76653513560296
f1: 34.65, f2: 36.71, latency: 0.0, cents_error: 31.929668082872073
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: -2.042620161276268
f1: 36.71, f2: 38.89, latency: 0.0040000000000000036, cents_error: 171.48960398653728
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -208.19479887996343
f1: 38.89, f2: 41.2, latency: 0.02299999999999991, cents_error: 19.123158491678254
f1: 41.2, f2: 38.89, latency: 0.026999999999999913, cents_error: 5.878676223236285
f1: 41.2, f2: 43.65, latency: 0.014999999999999902, cents_error: 26.808497235102703
f1: 43.65, f2: 41.2, latency: 0.020000000000000018, cents_error: 7.943223694716954
f1: 43.65, f2: 46.25, latency: 0.0, cents_error: -624.1281130901037
f1: 46.25, f2: 43.65, latency: 0.014999999999999902, cents_error: 30.20214694898917
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -389.576332405614
f1: 49.0, f2: 46.25, latency: 0.02200000000000002, cents_error: 12.23005656978545
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -163.66004337898008
f1: 51.91, f2: 49.0, latency: 0.0, cents_error: 152.58717963470704
f1: 51.91, f2: 55.0, latency: 0.016000000000000014, cents_error: 33.7435861689182
f1: 55.0, f2: 51.91, latency: 0.014000000000000012, cents_error: -38.33925607320496
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -1007.1211681639488
f1: 58.27, f2: 55.0, latency: 0.02400000000000002, cents_error: -19.949061187294348
f1: 58.27, f2: 61.74, latency: 0.028000000000000025, cents_error: 6.325324879658572
f1: 61.74, f2: 58.27, latency: 0.028999999999999915, cents_error: 5.267608599971919
f1: 61.74, f2: 65.41, latency: 0.02200000000000002, cents_error: -20.25445044787747
f1: 65.41, f2: 61.74, latency: 0.028000000000000025, cents_error: 6.575961019316684
f1: 65.41, f2: 69.3, latency: 0.018000000000000016, cents_error: -16.68313792961186
f1: 69.3, f2: 65.41, latency: 0.018999999999999906, cents_error: 10.188706626229393
f1: 69.3, f2: 73.42, latency: 0.0129999999999999, cents_error: 18.419619812039585
f1: 73.42, f2: 69.3, latency: 0.014000000000000012, cents_error: -12.611958252434025
f1: 73.42, f2: 77.78, latency: 0.026999999999999913, cents_error: 2.87192639413984
f1: 77.78, f2: 73.42, latency: 0.020999999999999908, cents_error: 4.987261492972125
f1: 77.78, f2: 82.41, latency: 0.018000000000000016, cents_error: 5.458702622933743
f1: 82.41, f2: 77.78, latency: 0.026999999999999913, cents_error: 3.4928342551940266
f1: 82.41, f2: 87.31, latency: 0.0029999999999998916, cents_error: -101.82316770237988
f1: 87.31, f2: 82.41, latency: 0.01200000000000001, cents_error: 29.901491728034717
f1: 87.31, f2: 92.5, latency: 0.0, cents_error: -1818.2803778820514
f1: 92.5, f2: 87.31, latency: 0.014999999999999902, cents_error: -16.149813164406375
f1: 92.5, f2: 98.0, latency: 0.020999999999999908, cents_error: -13.791318556157615
f1: 98.0, f2: 92.5, latency: 0.014999999999999902, cents_error: 5.577972793644991
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -10.482069233999326
f1: 103.83, f2: 98.0, latency: 0.0009999999999998899, cents_error: -1759.1334676018707
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, cents_error: -7.818623135580657
f1: 110.0, f2: 103.83, latency: 0.018999999999999906, cents_error: -14.700408197911177
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2206.010246955486
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2125.498521669986
f1: 116.54, f2: 123.47, latency: 0.006999999999999895, cents_error: -28.39724507716022
