f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.9650000000000001, cents_error: 86.41522847185347
f1: 30.87, f2: 29.14, latency: 0.0, cents_error: 407.2914862503758
f1: 30.87, f2: 32.7, latency: 0.02499999999999991, cents_error: -0.6787789223498274
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 296.86959782073484
f1: 32.7, f2: 34.65, latency: 0.0, cents_error: -101.8198735876319
f1: 34.65, f2: 32.7, latency: 0.02299999999999991, cents_error: 19.681864035917222
f1: 34.65, f2: 36.71, latency: 0.0, cents_error: 13.273132527769805
f1: 36.71, f2: 34.65, latency: 0.04200000000000004, cents_error: 4.0151321100655215
f1: 36.71, f2: 38.89, latency: 0.0020000000000000018, cents_error: 177.8688727608924
f1: 38.89, f2: 36.71, latency: 0.0, cents_error: -199.22294647740753
f1: 38.89, f2: 41.2, latency: 0.028000000000000025, cents_error: 10.778192517126408
f1: 41.2, f2: 38.89, latency: 0.02499999999999991, cents_error: -15.512438946057657
f1: 41.2, f2: 43.65, latency: 0.018000000000000016, cents_error: 40.7342157857023
f1: 43.65, f2: 41.2, latency: 0.028000000000000025, cents_error: 7.458666484120343
f1: 43.65, f2: 46.25, latency: 0.026999999999999913, cents_error: -0.9216345944873492
f1: 46.25, f2: 43.65, latency: 0.018000000000000016, cents_error: 44.42068993418518
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -397.3869882611592
f1: 49.0, f2: 46.25, latency: 0.02299999999999991, cents_error: 17.390517484680192
f1: 49.0, f2: 51.91, latency: 0.0009999999999998899, cents_error: -168.530163757039
f1: 51.91, f2: 49.0, latency: 0.0029999999999998916, cents_error: 148.05419529832696
f1: 51.91, f2: 55.0, latency: 0.0, cents_error: 43.60825436975774
f1: 55.0, f2: 51.91, latency: 0.0, cents_error: -63.316584464486326
f1: 55.0, f2: 58.27, latency: 0.0, cents_error: -994.964314646185
f1: 58.27, f2: 55.0, latency: 0.02299999999999991, cents_error: 16.528209212642892
f1: 58.27, f2: 61.74, latency: 0.028000000000000025, cents_error: 8.185613959852985
f1: 61.74, f2: 58.27, latency: 0.02499999999999991, cents_error: -18.663018678295014
f1: 61.74, f2: 65.41, latency: 0.018000000000000016, cents_error: -23.813898662574317
f1: 65.41, f2: 61.74, latency: 0.028000000000000025, cents_error: 9.324992039043279
f1: 65.41, f2: 69.3, latency: 0.0029999999999998916, cents_error: -126.72088067571585
f1: 69.3, f2: 65.41, latency: 0.018000000000000016, cents_error: 13.642556285452475
f1: 69.3, f2: 73.42, latency: 0.014999999999999902, cents_error: 15.84978386597858
f1: 73.42, f2: 69.3, latency: 0.01200000000000001, cents_error: -20.945395681831737
f1: 73.42, f2: 77.78, latency: 0.02200000000000002, cents_error: 15.611643073282782
f1: 77.78, f2: 73.42, latency: 0.016000000000000014, cents_error: -18.725718290137895
f1: 77.78, f2: 82.41, latency: 0.016999999999999904, cents_error: 8.704367307610521
f1: 82.41, f2: 77.78, latency: 0.02200000000000002, cents_error: 16.911224231452813
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -115.98595071415214
f1: 87.31, f2: 82.41, latency: 0.0, cents_error: 130.44500257194116
f1: 87.31, f2: 92.5, latency: 0.0020000000000000018, cents_error: -1818.624985696158
f1: 92.5, f2: 87.31, latency: 0.0129999999999999, cents_error: -30.160705631994208
f1: 92.5, f2: 98.0, latency: 0.016999999999999904, cents_error: -6.098209013319627
f1: 98.0, f2: 92.5, latency: 0.014999999999999902, cents_error: 7.834372327289845
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -20.712562481536537
f1: 103.83, f2: 98.0, latency: 0.020999999999999908, cents_error: 5.962421331625419
f1: 103.83, f2: 110.0, latency: 0.014000000000000012, cents_error: 26.572295228913962
f1: 110.0, f2: 103.83, latency: 0.0, cents_error: -1973.9025294578846
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2201.9923309092164
f1: 116.54, f2: 110.0, latency: 0.0, cents_error: -2124.828175215499
