f1: 16.35, f2: 17.32, latency: None, cents_error: None
f1: 17.32, f2: 16.35, latency: None, cents_error: None
f1: 17.32, f2: 18.35, latency: None, cents_error: None
f1: 18.35, f2: 17.32, latency: None, cents_error: None
f1: 18.35, f2: 19.45, latency: None, cents_error: None
f1: 19.45, f2: 18.35, latency: None, cents_error: None
f1: 19.45, f2: 20.6, latency: None, cents_error: None
f1: 20.6, f2: 19.45, latency: None, cents_error: None
f1: 20.6, f2: 21.83, latency: None, cents_error: None
f1: 21.83, f2: 20.6, latency: None, cents_error: None
f1: 21.83, f2: 23.12, latency: None, cents_error: None
f1: 23.12, f2: 21.83, latency: None, cents_error: None
f1: 23.12, f2: 24.5, latency: None, cents_error: None
f1: 24.5, f2: 23.12, latency: None, cents_error: None
f1: 24.5, f2: 25.96, latency: None, cents_error: None
f1: 25.96, f2: 24.5, latency: None, cents_error: None
f1: 25.96, f2: 27.5, latency: None, cents_error: None
f1: 27.5, f2: 25.96, latency: None, cents_error: None
f1: 27.5, f2: 29.14, latency: None, cents_error: None
f1: 29.14, f2: 27.5, latency: None, cents_error: None
f1: 29.14, f2: 30.87, latency: 0.06000000000000005, cents_error: 96.06476904123232
f1: 30.87, f2: 29.14, latency: None, cents_error: None
f1: 30.87, f2: 32.7, latency: 0.040000000000000036, cents_error: 0.29997001819625707
f1: 32.7, f2: 30.87, latency: 0.0, cents_error: 298.08653466769294
f1: 32.7, f2: 34.65, latency: 0.010000000000000009, cents_error: -87.43087250568006
f1: 34.65, f2: 32.7, latency: 0.004999999999999893, cents_error: 118.88442800858957
f1: 34.65, f2: 36.71, latency: 0.02499999999999991, cents_error: 25.472664398920337
f1: 36.71, f2: 34.65, latency: 0.0, cents_error: 8.921853499457823
f1: 36.71, f2: 38.89, latency: 0.02499999999999991, cents_error: 6.345434282651417
f1: 38.89, f2: 36.71, latency: 0.02499999999999991, cents_error: 12.41084686377748
f1: 38.89, f2: 41.2, latency: 0.030000000000000027, cents_error: 11.072220485052492
f1: 41.2, f2: 38.89, latency: 0.02499999999999991, cents_error: -9.627740335259578
f1: 41.2, f2: 43.65, latency: 0.020000000000000018, cents_error: 51.47761825522433
f1: 43.65, f2: 41.2, latency: 0.030000000000000027, cents_error: 10.710771229023024
f1: 43.65, f2: 46.25, latency: 0.030000000000000027, cents_error: -2.3464137386067763
f1: 46.25, f2: 43.65, latency: 0.020000000000000018, cents_error: 55.3489784594863
f1: 46.25, f2: 49.0, latency: 0.0, cents_error: -400.5956052903193
f1: 49.0, f2: 46.25, latency: 0.02499999999999991, cents_error: 15.980489042741944
f1: 49.0, f2: 51.91, latency: 0.0, cents_error: -172.9023031146827
f1: 51.91, f2: 49.0, latency: 0.020000000000000018, cents_error: 9.305098073750496
f1: 51.91, f2: 55.0, latency: 0.004999999999999893, cents_error: 52.88844060444403
f1: 55.0, f2: 51.91, latency: 0.020000000000000018, cents_error: -2.7113925975956645
f1: 55.0, f2: 58.27, latency: 0.030000000000000027, cents_error: 6.867771477476924
f1: 58.27, f2: 55.0, latency: 0.02499999999999991, cents_error: 3.1876911656914104
f1: 58.27, f2: 61.74, latency: 0.030000000000000027, cents_error: 4.646258812675052
f1: 61.74, f2: 58.27, latency: 0.030000000000000027, cents_error: 4.608740337781364
f1: 61.74, f2: 65.41, latency: 0.020000000000000018, cents_error: 0.6778405630583312
f1: 65.41, f2: 61.74, latency: 0.030000000000000027, cents_error: 4.351676826772458
f1: 65.41, f2: 69.3, latency: 0.020000000000000018, cents_error: -10.203300223441467
f1: 69.3, f2: 65.41, latency: 0.02499999999999991, cents_error: -2.0129561338995403
f1: 69.3, f2: 73.42, latency: 0.014999999999999902, cents_error: 2.142520478045902
f1: 73.42, f2: 69.3, latency: 0.010000000000000009, cents_error: -27.775346930723448
f1: 73.42, f2: 77.78, latency: 0.02499999999999991, cents_error: 6.374203008902275
f1: 77.78, f2: 73.42, latency: 0.020000000000000018, cents_error: 3.2225529689590933
f1: 77.78, f2: 82.41, latency: 0.020000000000000018, cents_error: 8.333131804076576
f1: 82.41, f2: 77.78, latency: 0.02499999999999991, cents_error: 6.1865600156794365
f1: 82.41, f2: 87.31, latency: 0.0, cents_error: -120.85891482804028
f1: 87.31, f2: 82.41, latency: 0.014999999999999902, cents_error: 12.408470073403096
f1: 87.31, f2: 92.5, latency: 0.014999999999999902, cents_error: 6.352041063321808
f1: 92.5, f2: 87.31, latency: 0.010000000000000009, cents_error: -52.40150523781636
f1: 92.5, f2: 98.0, latency: 0.020000000000000018, cents_error: -8.585396847489061
f1: 98.0, f2: 92.5, latency: 0.0, cents_error: -1538.9628777326159
f1: 98.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -16.8025726143274
f1: 103.83, f2: 98.0, latency: 0.0, cents_error: -1761.578382660368
f1: 103.83, f2: 110.0, latency: 0.020000000000000018, cents_error: 5.310840373498498
f1: 110.0, f2: 103.83, latency: 0.020000000000000018, cents_error: -14.856565151356168
f1: 110.0, f2: 116.54, latency: 0.0, cents_error: -2201.426822273616
f1: 116.54, f2: 110.0, latency: 0.02499999999999991, cents_error: 0.27900002711801547
